"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Create a new board on Trello","","0","1","2","0","0"
"","Verify Profile changes","","0","1","2","0","0"
"","Create a new list on a board","","0","3","0","0","0"
"","Create a new card in a list","","0","3","0","0","0"
"","My Login application","","0","2","1","0","0"
"","Board page - Card sorting functionality","","0","1","2","0","0"
"","Search for an existing board on Trello","","0","1","2","0","0"
"","Workspace settings - Editing workspace name","","0","1","2","0","0"
